method,candidate,u,slot_lambdas,lambda_spread,coherence_error,bond_error,nearest_training_distance,max_proximal_residual,raw_joint_valid
shared,0,0.100000,0.100000;0.100000;0.100000;0.100000,0.00000000,0.02320741,0.06249086,0.14935109,1.66848915e-06,0
shared,1,0.200000,0.200000;0.200000;0.200000;0.200000,0.00000000,0.10204321,0.06523903,0.27146070,1.48266862e-06,0
shared,2,0.300000,0.300000;0.300000;0.300000;0.300000,0.00000000,0.06844624,0.04526933,0.17272784,6.04590978e-07,0
shared,3,0.400000,0.400000;0.400000;0.400000;0.400000,0.00000000,0.11422190,0.08725958,0.26834676,1.64704121e-06,0
shared,4,0.500000,0.500000;0.500000;0.500000;0.500000,0.00000000,0.02384154,0.03761218,0.09404822,1.11354374e-06,1
shared,5,0.600000,0.600000;0.600000;0.600000;0.600000,0.00000000,0.07431573,0.01117308,0.13672104,6.77793882e-07,0
shared,6,0.700000,0.700000;0.700000;0.700000;0.700000,0.00000000,0.12166876,0.02573835,0.29846414,5.41171326e-07,0
shared,7,0.800000,0.800000;0.800000;0.800000;0.800000,0.00000000,0.05232984,0.04384585,0.12017766,9.80670985e-07,0
shared,8,0.900000,0.900000;0.900000;0.900000;0.900000,0.00000000,0.05314932,0.04468555,0.16285962,9.39161265e-07,0
independent,0,,0.100000;0.800000;0.600000;0.400000,0.25860201,0.38115846,0.13009834,0.81604119,1.66848915e-06,0
independent,1,,0.200000;0.900000;0.700000;0.500000,0.25860201,0.37534660,0.12995786,0.77143174,1.48266862e-06,0
independent,2,,0.300000;0.100000;0.800000;0.600000,0.26925824,0.47341040,0.22019534,1.01969486,1.11812736e-06,0
independent,3,,0.400000;0.200000;0.900000;0.700000,0.26925824,0.41744222,0.19699917,0.86004642,1.64704121e-06,0
independent,4,,0.500000;0.300000;0.100000;0.800000,0.25860201,0.43534865,0.22817744,0.95773932,1.11354374e-06,0
independent,5,,0.600000;0.400000;0.200000;0.900000,0.25860201,0.34070537,0.10324549,0.69361682,6.77793882e-07,0
independent,6,,0.700000;0.500000;0.300000;0.100000,0.22360680,0.32167864,0.14727359,0.70622479,6.69093802e-07,0
independent,7,,0.800000;0.600000;0.400000;0.200000,0.22360680,0.35698695,0.19043450,0.74466839,9.80670985e-07,0
independent,8,,0.900000;0.700000;0.500000;0.300000,0.22360680,0.31405442,0.15224204,0.65948389,9.39161265e-07,0
