stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.4879456009721146,1.9225491108764001,1.0,0.39487246557982936,0.20412414523193154,0.27914244508734093,0.23936631944444445,0.1736111111111111,0.15733506944444445,0.09635416666666667,0.05946180555555555,0.041015625,0.027560763888888888,0.020399305555555556,0.017578125,0.013020833333333334,0.154296875,0.034051396741362934,0.2788779604226514,0.17921964577900187,,,,,,1
terminal,,,True,1.1868647668709118,0.878673190551158,0.4570354981208319,0.21845228925546917,0.20412414523193154,0.04774305555555558,0.11588541666666667,0.10633680555555555,0.099609375,0.095703125,0.0798611111111111,0.08637152777777778,0.08875868055555555,0.09678819444444445,0.10980902777777778,0.07291666666666667,0.04796006944444445,0.00012571860726239608,0.027411338859496544,0.8065033564098085,,,,,,1
vertex,304,0,,,,,,,,,,,,,,,,,,,,,,7.639408110e-04,1.357194256e-03,7.946129405e-04,1.411685439e-03,2.250904083e-06,1
vertex,304,1,,,,,,,,,,,,,,,,,,,,,,2.610403808e-03,1.357194256e-03,2.715211199e-03,1.411685439e-03,3.766834830e-06,1
vertex,304,2,,,,,,,,,,,,,,,,,,,,,,1.560949663e-03,1.357194256e-03,1.623621600e-03,1.411685439e-03,4.345706645e-06,1
vertex,304,3,,,,,,,,,,,,,,,,,,,,,,8.587187650e-04,1.357194256e-03,8.931962178e-04,1.411685439e-03,2.747513930e-06,1
vertex,304,4,,,,,,,,,,,,,,,,,,,,,,9.579005997e-04,1.357194256e-03,9.963601910e-04,1.411685439e-03,2.673218300e-06,1
vertex,304,5,,,,,,,,,,,,,,,,,,,,,,9.949745400e-04,1.357194256e-03,1.034922645e-03,1.411685439e-03,3.050697874e-06,1
vertex,304,6,,,,,,,,,,,,,,,,,,,,,,1.436034900e-03,1.357194256e-03,1.493691525e-03,1.411685439e-03,3.240174374e-06,1
vertex,304,7,,,,,,,,,,,,,,,,,,,,,,1.112736196e-03,1.357194256e-03,1.157412417e-03,1.411685439e-03,3.845848225e-06,1
vertex,304,8,,,,,,,,,,,,,,,,,,,,,,8.933559807e-04,1.357194256e-03,9.292241135e-04,1.411685439e-03,2.649858485e-06,1
vertex,436,0,,,,,,,,,,,,,,,,,,,,,,1.140710033e-03,1.518216816e-03,1.186509401e-03,1.579173035e-03,2.892309139e-06,1
vertex,436,1,,,,,,,,,,,,,,,,,,,,,,2.199571779e-03,1.518216816e-03,2.287884315e-03,1.579173035e-03,7.155390143e-06,1
vertex,436,2,,,,,,,,,,,,,,,,,,,,,,1.226741986e-03,1.518216816e-03,1.275995526e-03,1.579173035e-03,2.973163016e-06,1
vertex,436,3,,,,,,,,,,,,,,,,,,,,,,2.020080772e-03,1.518216816e-03,2.101186766e-03,1.579173035e-03,7.887087453e-06,1
vertex,436,4,,,,,,,,,,,,,,,,,,,,,,2.190580936e-03,1.518216816e-03,2.278532491e-03,1.579173035e-03,8.269557267e-06,1
vertex,436,5,,,,,,,,,,,,,,,,,,,,,,4.848786603e-04,1.518216816e-03,5.043464789e-04,1.579173035e-03,2.269533058e-06,1
vertex,436,6,,,,,,,,,,,,,,,,,,,,,,7.226842957e-04,1.518216816e-03,7.516999812e-04,1.579173035e-03,1.992235298e-06,1
vertex,436,7,,,,,,,,,,,,,,,,,,,,,,1.288560014e-03,1.518216816e-03,1.340295540e-03,1.579173035e-03,3.160780720e-06,1
vertex,436,8,,,,,,,,,,,,,,,,,,,,,,1.342933895e-03,1.518216816e-03,1.396852526e-03,1.579173035e-03,3.291912399e-06,1
vertex,186,0,,,,,,,,,,,,,,,,,,,,,,1.744534902e-03,2.169595868e-03,1.814577764e-03,2.256704876e-03,3.581838580e-06,1
vertex,186,1,,,,,,,,,,,,,,,,,,,,,,1.933280164e-03,2.169595868e-03,2.010901125e-03,2.256704876e-03,5.917276686e-06,1
vertex,186,2,,,,,,,,,,,,,,,,,,,,,,2.015026937e-03,2.169595868e-03,2.095930021e-03,2.256704876e-03,3.618684511e-06,1
vertex,186,3,,,,,,,,,,,,,,,,,,,,,,1.555799341e-03,2.169595868e-03,1.618264493e-03,2.256704876e-03,3.375385999e-06,1
vertex,186,4,,,,,,,,,,,,,,,,,,,,,,2.762547026e-03,2.169595868e-03,2.873462949e-03,2.256704876e-03,9.505726612e-06,1
vertex,186,5,,,,,,,,,,,,,,,,,,,,,,2.786484626e-03,2.169595868e-03,2.898361641e-03,2.256704876e-03,7.063746254e-06,1
vertex,186,6,,,,,,,,,,,,,,,,,,,,,,2.376369760e-03,2.169595868e-03,2.471780714e-03,2.256704876e-03,7.001453925e-06,1
vertex,186,7,,,,,,,,,,,,,,,,,,,,,,2.185311229e-03,2.169595868e-03,2.273051206e-03,2.256704876e-03,7.898047581e-06,1
vertex,186,8,,,,,,,,,,,,,,,,,,,,,,1.812074965e-03,2.169595868e-03,1.884829552e-03,2.256704876e-03,8.064685165e-06,1
vertex,21,0,,,,,,,,,,,,,,,,,,,,,,2.977367424e-03,1.637690464e-03,3.096908360e-03,1.703443535e-03,1.231498068e-05,1
vertex,21,1,,,,,,,,,,,,,,,,,,,,,,5.688673405e-04,1.637690464e-03,5.917072942e-04,1.703443535e-03,2.200250794e-06,1
vertex,21,2,,,,,,,,,,,,,,,,,,,,,,1.943371740e-03,1.637690464e-03,2.021397876e-03,1.703443535e-03,4.837738887e-06,1
vertex,21,3,,,,,,,,,,,,,,,,,,,,,,1.841880852e-03,1.637690464e-03,1.915832142e-03,1.703443535e-03,5.768471725e-06,1
vertex,21,4,,,,,,,,,,,,,,,,,,,,,,1.093183520e-03,1.637690464e-03,1.137074704e-03,1.703443535e-03,2.748277595e-06,1
vertex,21,5,,,,,,,,,,,,,,,,,,,,,,8.046493856e-04,1.637690464e-03,8.369559594e-04,1.703443535e-03,2.434960207e-06,1
vertex,21,6,,,,,,,,,,,,,,,,,,,,,,1.482717246e-03,1.637690464e-03,1.542248161e-03,1.703443535e-03,4.567039836e-06,1
vertex,21,7,,,,,,,,,,,,,,,,,,,,,,8.540372156e-04,1.637690464e-03,8.883267048e-04,1.703443535e-03,3.032147735e-06,1
vertex,21,8,,,,,,,,,,,,,,,,,,,,,,1.735045836e-03,1.637690464e-03,1.804707713e-03,1.703443535e-03,5.633844723e-06,1
