forward_id,source_count,seed,epsilon,exponent_s,gamma,transport_time,steps,beta,proximal_steps,vertex_sources,particle_median_relative_rmse,particle_p95_relative_rmse,particle_max_relative_rmse,max_replay_residual,gate_pass,forward_seconds,replay_seconds,error
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.025,25,1,0.01581373601693923,0.11006336825488706,0.15861995119957906,0.001518847580206862,0,48.8705086000009,7.4561448999993445,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.025,50,1,0.0061615634373141,0.009783492671501911,0.010545375636962782,0.0005499485663101899,1,48.8705086000009,14.695843700003024,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.025,100,1,0.0028157235882012447,0.004152303993935039,0.004449300604258833,0.00010949603041247492,1,48.8705086000009,28.71919049999633,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.025,200,1,0.0020616784759845286,0.0029941448317097907,0.003207805268289644,5.959006794016255e-06,1,48.8705086000009,54.40933529999893,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.05,25,1,0.006046883643003171,0.00957412062357179,0.010316319951021601,0.0005355832412199552,1,48.8705086000009,7.0280808999959845,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.05,50,1,0.0027802880180014724,0.004096621210250535,0.00438958085452211,0.00010471200800914064,1,48.8705086000009,13.662040999995952,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.05,100,1,0.002058206735274716,0.0029889086292607305,0.003202195485262167,5.480216864909012e-06,1,48.8705086000009,26.72631430000183,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.05,200,1,0.002019993265614989,0.002932490248808782,0.0031417557235310124,1.729449593238316e-08,1,48.8705086000009,53.19885570000042,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.1,25,1,0.002710333308779431,0.00398689324668628,0.004271908476462476,9.525660186556167e-05,1,48.8705086000009,6.907235700004094,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.1,50,1,0.0020517574756585455,0.0029792012658933593,0.0031917956276041643,4.588051108914118e-06,1,48.8705086000009,13.485060799997882,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.1,100,1,0.002019960331343089,0.0029324439248226406,0.0031417061085364582,1.219837182464103e-08,1,48.8705086000009,33.61570380000194,
eps0.01_s3_g0.002_tau2,128,89,0.01,3.0,0.002,2.0,1000,0.1,200,1,0.002019885693821134,0.002932342338983147,0.0031415973154065467,9.536364681374356e-14,1,48.8705086000009,80.74939430000086,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.025,25,1,0.015200224110470516,0.10890549428179946,0.15730539661940943,0.0007750862772294363,0,95.19726930000252,14.412167299997236,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.025,50,1,0.005429447862864851,0.008735737370640238,0.00942214677751714,0.000292830005095535,1,95.19726930000252,27.95765009999741,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.025,100,1,0.0019307126718416507,0.002878654860185797,0.003084688047016034,6.289248940519815e-05,1,95.19726930000252,55.01394080000318,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.025,200,1,0.0010719907200721628,0.0015593625487006924,0.0016706354076426368,3.99453138320383e-06,1,95.19726930000252,114.27531459999591,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.05,25,1,0.005319118278714249,0.008534571295880714,0.009201892830568768,0.00028592338806948935,1,95.19726930000252,19.83679839999968,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.05,50,1,0.0018945497705437542,0.002822132358413359,0.0030240709205501,6.044247812540755e-05,1,95.19726930000252,42.18265339999925,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.05,100,1,0.0010677958802115537,0.0015530035968733863,0.0016638227203958848,3.704411498524225e-06,1,95.19726930000252,61.16692090000288,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.05,200,1,0.0010149572132103059,0.0014737777279999376,0.001578948043915732,1.569031934722123e-08,1,95.19726930000252,106.74203509999643,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.1,25,1,0.0018228702241469452,0.0027102732342876947,0.002904119824130613,5.5581658437609925e-05,1,95.19726930000252,14.399772599994321,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.1,50,1,0.0010599038052192078,0.0015410516052210732,0.0016510179781244602,3.1581149886366156e-06,1,95.19726930000252,27.09921960000065,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.1,100,1,0.0010148982521266073,0.0014736911589314705,0.001578855311769079,1.1462797293094942e-08,1,95.19726930000252,53.3219406000062,
eps0.01_s3_g0.001_tau2,128,89,0.01,3.0,0.001,2.0,2000,0.1,200,1,0.001014742227775675,0.001473465331058267,0.0015786134198854176,1.595672554163663e-13,1,95.19726930000252,105.06048739999824,
